server,page,concurrency,elapsed_s,success,failed,avg_ms,success_rate,error
thread,https://dental-first.ru/catalog,5,3.864,0,5,0,0.0,no valid json
thread,https://dental-first.ru/catalog,10,7.508,0,10,0,0.0,no valid json
thread,https://dental-first.ru/catalog,20,13.269,0,20,0,0.0,no valid json
thread,https://dental-first.ru/catalog/page/2,5,1.774,0,5,0,0.0,no valid json
thread,https://dental-first.ru/catalog/page/2,10,2.924,0,10,0,0.0,no valid json
thread,https://dental-first.ru/catalog/page/2,20,4.203,0,20,0,0.0,no valid json
thread,https://dental-first.ru/catalog/page/3,5,1.451,0,5,0,0.0,no valid json
thread,https://dental-first.ru/catalog/page/3,10,3.616,0,10,0,0.0,no valid json
thread,https://dental-first.ru/catalog/page/3,20,6.85,0,20,0,0.0,no valid json
async,https://dental-first.ru/catalog,5,5.473,0,5,0,0.0,no valid json
async,https://dental-first.ru/catalog,10,9.753,0,10,0,0.0,no valid json
async,https://dental-first.ru/catalog,20,16.339,0,20,0,0.0,no valid json
async,https://dental-first.ru/catalog/page/2,5,2.935,0,5,0,0.0,no valid json
async,https://dental-first.ru/catalog/page/2,10,3.235,0,10,0,0.0,no valid json
async,https://dental-first.ru/catalog/page/2,20,5.384,0,20,0,0.0,no valid json
async,https://dental-first.ru/catalog/page/3,5,2.143,0,5,0,0.0,no valid json
async,https://dental-first.ru/catalog/page/3,10,3.41,0,10,0,0.0,no valid json
async,https://dental-first.ru/catalog/page/3,20,5.41,0,20,0,0.0,no valid json
